class_id,class_name,precision,recall,f1,support
0,-adulto,0.0000,0.0000,0.0000,0
1,-ustedes,0.0000,0.0000,0.0000,0
2,??,0.0000,0.0000,0.0000,0
3,???,0.0000,0.0000,0.0000,0
4,A-L-E-X,0.0000,0.0000,0.0000,1
5,A-N-D-R-E-A,0.0000,0.0000,0.0000,1
6,C-A-R-B-O-H-I-D-R-A-T-O-S,0.0000,0.0000,0.0000,1
7,C-E-S-Y,0.0000,0.0000,0.0000,0
8,C-H-A,0.0000,0.0000,0.0000,0
9,C-H-A-R-Q-UI,0.0000,0.0000,0.0000,0
10,C-H-U-Ñ-O,0.0000,0.0000,0.0000,1
11,C-L-A-U-D-I-A,0.0000,0.0000,0.0000,0
12,C-O-N-F-L-I-C-T-O,0.0000,0.0000,0.0000,0
13,D-E,0.0000,0.0000,0.0000,0
14,G-R,0.3333,0.5714,0.4211,7
15,M-A-R-C-O,0.0000,0.0000,0.0000,2
16,M-I-N-E-R-A-L-E-S,0.5000,1.0000,0.6667,1
17,NN,0.0000,0.0000,0.0000,0
18,NNN,0.2500,0.2500,0.2500,4
19,P-A-T-I,0.0000,0.0000,0.0000,0
20,P-A-T-R-I-C-I-A,0.0000,0.0000,0.0000,2
21,P-R-O-T-E-I-N-A,0.0000,0.0000,0.0000,0
22,P-R-O-T-E-I-N-A-S,0.0000,0.0000,0.0000,0
23,P-U-B-E-R-T-A-D,0.0000,0.0000,0.0000,0
24,PA-T-R-I-C-I-A,0.0000,0.0000,0.0000,0
25,Perú,0.0000,0.0000,0.0000,0
26,Q-U-I-N-U-A,0.0000,0.0000,0.0000,1
27,a,0.0000,0.0000,0.0000,0
28,abrir,0.0000,0.0000,0.0000,1
29,abuelo,1.0000,0.5000,0.6667,2
30,aceptar,0.0000,0.0000,0.0000,1
31,aconsejar,0.0000,0.0000,0.0000,0
32,acuerdo,0.0000,0.0000,0.0000,1
33,adentro,0.0000,0.0000,0.0000,1
34,adiós,0.0000,0.0000,0.0000,0
35,adulto,0.0000,0.0000,0.0000,0
36,agrupar,0.0000,0.0000,0.0000,1
37,agua,0.0000,0.0000,0.0000,2
38,ahora,0.0000,0.0000,0.0000,4
39,ahí,0.0000,0.0000,0.0000,2
40,alegría,0.0000,0.0000,0.0000,1
41,alimento,0.0000,0.0000,0.0000,1
42,alimentos,0.0000,0.0000,0.0000,1
43,alrededor,0.0000,0.0000,0.0000,0
44,amarrar,0.0000,0.0000,0.0000,1
